STORY,QUERY,TRACK,INDEX
"Xiao Ming and Youyou stroll around the farm, they see a backpack and a cabinet, they find a marker in the backpack, Youyou leaves the farm, Xiao Ming moves the marker to the cabinet.","<QUESTION>###QUESTION: Where is the marker now?</QUESTION>
<OPTIONS>###OPTION: A. Cabinet B. Backpack C. Cupboard D. Drawer</OPTIONS>
<QUESTION>###QUESTION: Where is the marker before?</QUESTION>
<OPTIONS>###OPTION: A. Briefcase B. Basket C. Cupboard D. Backpack</OPTIONS>
<QUESTION>###QUESTION: After Youyou returns to the farm, where does Xiao Ming look for the marker?</QUESTION>
<OPTIONS>###OPTION: A. Cupboard B. Handbag C. Backpack D. Storage locker</OPTIONS>
<QUESTION>###QUESTION: After Youyou returns to the farm, where does Youyou look for the marker?</QUESTION>
<OPTIONS>###OPTION: A. Basket B. Cabinet C. Backpack D. Suitcase</OPTIONS>
<QUESTION>###QUESTION: After Youyou returns to the farm, where does Xiao Ming think Youyou looks for the marker?</QUESTION>
<OPTIONS>###OPTION: A. Handbag B. Cabinet C. Basket D. Backpack</OPTIONS>
<QUESTION>###QUESTION: After Youyou returns to the farm, where does Youyou think Xiao Ming looks for the marker?</QUESTION>
<OPTIONS>###OPTION: A. Handbag B. Cabinet C. Backpack D. Cupboard</OPTIONS>",100-101-102-103-104-105,44
"Xiao Wang and Xiao Ming stroll around the farm, they see a basket and a storage cabinet, they find a coat in the basket, Xiao Ming leaves the farm, Xiao Wang moves the coat to the storage cabinet.","<QUESTION>###QUESTION: Where is the coat now?</QUESTION>
<OPTIONS>###OPTION: A. Suitcase B. Handbag C. Basket D. Storage cabinet</OPTIONS>
<QUESTION>###QUESTION: Where is the jacket before?</QUESTION>
<OPTIONS>###OPTION: A. Backpack B. Basket C. Storage cabinet D. Handbag</OPTIONS>
<QUESTION>###QUESTION: After Xiao Ming returns to the farm, where does Xiao Wang look for the jacket?</QUESTION>
<OPTIONS>###OPTION: A. Drawer B. Handbag C. Basket D. Storage cabinet</OPTIONS>
<QUESTION>###QUESTION: After Xiao Ming returns to the farm, where does Xiao Ming look for the coat?</QUESTION>
<OPTIONS>###OPTION: A. Box B. Storage cabinet C. Basket D. Cabinet</OPTIONS>
<QUESTION>###QUESTION: After Xiao Ming returns to the farm, where does Xiao Wang think Xiao Ming looks for the jacket?</QUESTION>
<OPTIONS>###OPTION: A. Cabinet B. Handbag C. Basket D. Storage cabinet</OPTIONS>
<QUESTION>###QUESTION: After Xiao Ming returns to the farm, where does Xiao Ming think Xiao Wang looks for the jacket?</QUESTION>
<OPTIONS>###OPTION: A. Storage cabinet B. Box C. Basket D. Drawer</OPTIONS>",106-107-108-109-110-111,45
"Li Lei and Han Meimei are wandering in the living room, they see a backpack and a briefcase, they find socks in the backpack, Han Meimei leaves the living room, Li Lei moves the socks to the briefcase.","<QUESTION>###QUESTION: Where are the socks now?</QUESTION>
<OPTIONS>###OPTION: A. Backpack B. Briefcase C. Handbag D. Drawer</OPTIONS>
<QUESTION>###QUESTION: Where are the socks before?</QUESTION>
<OPTIONS>###OPTION: A. Box B. Briefcase C. Backpack D. Cabinet</OPTIONS>
<QUESTION>###QUESTION: After Han Meimei returns to the living room, where does Li Lei look for the socks?</QUESTION>
<OPTIONS>###OPTION: A. Briefcase B. Backpack C. Safe D. Drawer</OPTIONS>
<QUESTION>###QUESTION: After Han Meimei returns to the living room, where does Han Meimei look for the socks?</QUESTION>
<OPTIONS>###OPTION: A. Backpack B. Box C. Briefcase D. Handbag</OPTIONS>
<QUESTION>###QUESTION: After Han Meimei returns to the living room, where does Li Lei think Han Meimei looks for the socks?</QUESTION>
<OPTIONS>###OPTION: A. Backpack B. Basket C. Box D. Briefcase</OPTIONS>
<QUESTION>###QUESTION: After Han Meimei returns to the living room, where does Han Meimei think Li Lei looks for the socks?</QUESTION>
<OPTIONS>###OPTION: A. Backpack B. Box C. Briefcase D. Case</OPTIONS>",112-113-114-115-116-117,46
"Xiao Li finds a cabinet in the factory, the label on the cabinet is eggplant, Xiao Li cannot see what is inside the cabinet, Xiao Li opens the cabinet and finds beetroot, there is no eggplant inside the cabinet, Xiao Li closes the cabinet and puts it back in its place, Han Meimei enters the factory and sees the cabinet.","<QUESTION>###QUESTION: What is inside the cabinet?</QUESTION>
<OPTIONS>###OPTION: A. Box B. Cup C. Beetroot D. Eggplant</OPTIONS>
<QUESTION>###QUESTION: What should be inside the cabinet?</QUESTION>
<OPTIONS>###OPTION: A. Tomato B. Cabbage C. Eggplant D. Beetroot</OPTIONS>
<QUESTION>###QUESTION: After Han Meimei opens the cabinet, what does Xiao Li expect to find inside the cabinet?</QUESTION>
<OPTIONS>###OPTION: A. Light bulb B. Raincoat C. Beetroot D. Eggplant</OPTIONS>
<QUESTION>###QUESTION: After Han Meimei opens the cabinet, what does Han Meimei expect to find inside the cabinet?</QUESTION>
<OPTIONS>###OPTION: A. Vest B. Beetroot C. Pencil D. Eggplant</OPTIONS>
<QUESTION>###QUESTION: After Han Meimei opens the cabinet, what does Xiao Li think Han Meimei expects to find inside the cabinet?</QUESTION>
<OPTIONS>###OPTION: A. Beetroot B. Eggplant C. Sponge D. Tomato</OPTIONS>
<QUESTION>###QUESTION: After Han Meimei opens the cabinet, what does Han Meimei think Xiao Li expects to find inside the cabinet?</QUESTION>
<OPTIONS>###OPTION: A. Watch B. Eggplant C. Pineapple D. Beetroot</OPTIONS>",118-119-120-121-122-123,47
"Xiao Bei finds a storage locker in the garage, the label on the storage locker is coat, Xiao Bei cannot see what is inside the storage locker, Xiao Bei opens the storage locker and finds a cup, there is no coat inside the storage locker, Xiao Bei closes the storage locker and puts it back in place, Xiao Ming enters the garage and sees the storage locker.","<QUESTION>###QUESTION: What is inside the storage locker?</QUESTION>
<OPTIONS>###OPTION: A. Marker B. Coat C. Cup D. Sponge</OPTIONS>
<QUESTION>###QUESTION: What should be inside the storage locker?</QUESTION>
<OPTIONS>###OPTION: A. Shirt B. Cup C. Marker D. Jacket</OPTIONS>
<QUESTION>###QUESTION: After Xiao Ming opens the storage locker, what does Xiao Bei expect to find inside the storage locker?</QUESTION>
<OPTIONS>###OPTION: A. Watch B. Jacket C. Cup D. Sweatshirt</OPTIONS>
<QUESTION>###QUESTION: After Xiao Ming opens the storage locker, what does Xiao Ming expect to find inside the storage locker?</QUESTION>
<OPTIONS>###OPTION: A. Raincoat B. Cup C. Corn D. Jacket</OPTIONS>
<QUESTION>###QUESTION: After Xiao Ming opens the storage locker, what does Xiao Bei think Xiao Ming expects to find inside the storage locker?</QUESTION>
<OPTIONS>###OPTION: A. Coat B. Cup C. Tape D. Sponge</OPTIONS>
<QUESTION>###QUESTION: After Xiao Ming opens the storage locker, what does Xiao Ming think Xiao Bei expects to find inside the storage locker?</QUESTION>
<OPTIONS>###OPTION: A. Cup B. Marker C. Coat D. Vest</OPTIONS>",124-125-126-127-128-129,48
"Xiao Ming finds a briefcase in the basement, the label on the briefcase is a tape, Xiao Ming cannot see what is inside the briefcase, Xiao Ming opens the briefcase and finds a calculator, there is no tape inside the briefcase, Xiao Ming closes the briefcase and puts it back in its place, Xiao Li enters the basement and sees the briefcase.","<QUESTION>###QUESTION: What is inside the briefcase?</QUESTION>
<OPTIONS>###OPTION: A. Pumpkin B. Tape C. Calculator D. Jacket</OPTIONS>
<QUESTION>###QUESTION: What should be inside the briefcase?</QUESTION>
<OPTIONS>###OPTION: A. Coat B. Tape C. Calculator D. Corn</OPTIONS>
<QUESTION>###QUESTION: After Xiao Li opens the briefcase, what does Xiao Ming expect to find inside the briefcase?</QUESTION>
<OPTIONS>###OPTION: A. Tape B. Calculator C. Ring D. Thermometer</OPTIONS>
<QUESTION>###QUESTION: After Xiao Li opens the briefcase, what does Xiao Li expect to find inside the briefcase?</QUESTION>
<OPTIONS>###OPTION: A. Thermometer B. Calculator C. Tape D. Banana</OPTIONS>
<QUESTION>###QUESTION: After Xiao Li opens the briefcase, what does Xiao Ming think Xiao Li expects to find in the briefcase?</QUESTION>
<OPTIONS>###OPTION: A. Calculator B. Tape C. Cup D. Light bulb</OPTIONS>
<QUESTION>###QUESTION: After Xiao Li opens the briefcase, what does Xiao Li think Xiao Ming expects to find inside the briefcase?</QUESTION>
<OPTIONS>###OPTION: A. Tape B. Zucchini C. Calculator D. Coconut</OPTIONS>",130-131-132-133-134-135,49
"Han Meimei and Li Lei stroll in the garden, they see a backpack and a suitcase, they find tomatoes in the backpack, Li Lei leaves the garden, Han Meimei moves the tomatoes to the suitcase.","<QUESTION>###QUESTION: Where are the tomatoes now?</QUESTION>
<OPTIONS>###OPTION: A. Basket B. Backpack C. Suitcase D. Cabinet</OPTIONS>
<QUESTION>###QUESTION: Where are the tomatoes before?</QUESTION>
<OPTIONS>###OPTION: A. Basket B. Suitcase C. Cabinet D. Backpack</OPTIONS>
<QUESTION>###QUESTION: After Li Lei returns to the garden, where does Han Meimei look for the tomatoes?</QUESTION>
<OPTIONS>###OPTION: A. Cabinet B. Suitcase C. Basket D. Backpack</OPTIONS>
<QUESTION>###QUESTION: After Li Lei returns to the garden, where does Li Lei look for the tomatoes?</QUESTION>
<OPTIONS>###OPTION: A. Handbag B. Suitcase C. Backpack D. Basket</OPTIONS>
<QUESTION>###QUESTION: After Li Lei returns to the garden, where does Han Meimei think Li Lei looks for the tomatoes?</QUESTION>
<OPTIONS>###OPTION: A. Backpack B. Tote bag C. Handbag D. Suitcase</OPTIONS>
<QUESTION>###QUESTION: After Li Lei returns to the garden, where does Li Lei think Han Meimei looks for the tomatoes?</QUESTION>
<OPTIONS>###OPTION: A. Backpack B. Briefcase C. Handbag D. Suitcase</OPTIONS>",136-137-138-139-140-141,50
"Xiao Hong finds a basket in the bell tower, the label on the basket is pepper powder, Xiao Hong cannot see what is inside the basket, Xiao Hong opens the basket and finds a sweater, there is no pepper powder in the basket, Xiao Hong closes the basket and puts it back in its place, Youyou enters the bell tower and sees the basket.","<QUESTION>###QUESTION: What is in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Pepper powder B. Coat C. Durian D. Sweater</OPTIONS>
<QUESTION>###QUESTION: What should be inside the basket?</QUESTION>
<OPTIONS>###OPTION: A. Beetroot B. Plate ruler C. Sweater D. Pepper powder</OPTIONS>
<QUESTION>###QUESTION: After Youyou opens the basket, what does Xiao Hong expect to find inside the basket?</QUESTION>
<OPTIONS>###OPTION: A. Sweater B. Bottle C. Vest D. Pepper powder</OPTIONS>
<QUESTION>###QUESTION: After Youyou opens the basket, what does Youyou expect to find in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Plate ruler B. Pepper powder C. Sweater D. Box</OPTIONS>
<QUESTION>###QUESTION: After Youyou opens the basket, what does Xiao Hong think Youyou expects to find in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Sweater B. Banana C. Pepper powder D. Button</OPTIONS>
<QUESTION>###QUESTION: After Youyou opens the basket, what does Youyou think Xiao Hong expects to find in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Calculator B. Pepper powder C. Sweater D. Cup</OPTIONS>",142-143-144-145-146-147,51
"Xiao Gang finds a basket on the terrace, the label on the basket is shirt, Xiao Gang cannot see what is inside the basket, Xiao Gang opens the basket and finds a coconut, there is no shirt inside the basket, Xiao Gang closes the basket and puts it back in its place, Zhang Wei enters the terrace and sees the basket.","<QUESTION>###QUESTION: What is inside the basket?</QUESTION>
<OPTIONS>###OPTION: A. Cabbage B. Eggplant C. Shirt D. Coconut</OPTIONS>
<QUESTION>###QUESTION: What should be in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Fingerless gloves sweater B. Ring C. Shirt D. Coconut</OPTIONS>
<QUESTION>###QUESTION: After Zhang Wei opens the basket, what does Xiao Gang expect to find inside the basket?</QUESTION>
<OPTIONS>###OPTION: A. Vest B. Tape C. Shirt D. Coconut</OPTIONS>
<QUESTION>###QUESTION: After Zhang Wei opens the basket, what does Zhang Wei expect to find inside the basket?</QUESTION>
<OPTIONS>###OPTION: A. Shirt B. Bottle C. Coconut D. Mask</OPTIONS>
<QUESTION>###QUESTION: After Zhang Wei opens the basket, what does Xiaogang think Zhang Wei expects to find in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Pumpkin B. Shirt C. Tomato D. Coconut</OPTIONS>
<QUESTION>###QUESTION: After Zhang Wei opens the basket, what does Zhang Wei think Xiao Gang expects to find in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Sweater B. Shirt C. Coconut D. Box</OPTIONS>",148-149-150-151-152-153,52
"Youyou finds a basket in the classroom, the label on the basket is a button, Youyou cannot see what is inside the basket, Youyou opens the basket and finds tomatoes, there are no buttons in the basket, Youyou closes the basket and puts it back in its place, Lilei enters the classroom and sees the basket.","<QUESTION>###QUESTION: What is in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Tomatoes B. Button C. Plate ruler D. Potato</OPTIONS>
<QUESTION>###QUESTION: What should be in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Tomatoes B. Corn C. Shirt D. Button</OPTIONS>
<QUESTION>###QUESTION: After Li Lei opens the basket, what does Youyou expect to find inside the basket?</QUESTION>
<OPTIONS>###OPTION: A. Button B. Tomato C. Finger gloves wool sweater D. Pineapple</OPTIONS>
<QUESTION>###QUESTION: After Lilei opens the basket, what does Lilei expect to find in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Notebook B. Button C. Sweater D. Tomato</OPTIONS>
<QUESTION>###QUESTION: After Lilei opens the basket, what does Youyou think Lilei expects to find in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Tomatoes B. Raincoat C. Button D. Tape</OPTIONS>
<QUESTION>###QUESTION: After Lilei opens the basket, what does Lilei think Youyou expects to find in the basket?</QUESTION>
<OPTIONS>###OPTION: A. Cup B. Tomato C. Tie D. Button</OPTIONS>",154-155-156-157-158-159,53
"Xiao Ming finds a safe on the farm, the label on the safe is a marker, Xiao Ming cannot see what is inside the safe, Xiao Ming opens the safe and finds a banana, there is no marker inside the safe, Xiao Ming closes the safe and puts it back in its place, Youyou enters the farm and sees the safe.","<QUESTION>###QUESTION: What is inside the safe?</QUESTION>
<OPTIONS>###OPTION: A. Mask B. Marker C. Banana D. Sponge</OPTIONS>
<QUESTION>###QUESTION: What should be in the safe?</QUESTION>
<OPTIONS>###OPTION: A. Sweatshirt B. Marker C. Banana D. Pepper powder</OPTIONS>
<QUESTION>###QUESTION: After Youyou opens the safe, what does Xiao Ming expect to find in the safe?</QUESTION>
<OPTIONS>###OPTION: A. Marker B. Banana C. Watch D. Cup</OPTIONS>
<QUESTION>###QUESTION: After Youyou opens the safe, what does Youyou expect to find inside the safe?</QUESTION>
<OPTIONS>###OPTION: A. Marker B. Jar C. Book D. Banana</OPTIONS>
<QUESTION>###QUESTION: After Youyou opens the safe, what does Xiao Ming think Youyou expects to find in the safe?</QUESTION>
<OPTIONS>###OPTION: A. Tomato B. Marker C. Banana D. Cup</OPTIONS>
<QUESTION>###QUESTION: After Youyou opens the safe, what does Youyou think Xiao Ming expects to find in the safe?</QUESTION>
<OPTIONS>###OPTION: A. Marker B. Compass C. Banana D. Coconut</OPTIONS>",160-161-162-163-164-165,54
"Last Friday, all classmates in the fifth grade of elementary school participate in a Chinese composition competition. Xiao Ming really wants to win first place in this competition. The competition results come out, Xiao Hong wins the competition, and Xiao Ming happens to take a leave of absence and does not go to school that day. When going to school on Monday, Xiao Hong is the first to see Xiao Ming and says: ""Xiao Ming, I read your composition and it is not bad, just a bit regrettable."" Xiao Ming is very surprised when he hears this and says: ""What do you mean, can you be more clear?"" Xiao Hong looks at Xiao Ming and says: ""Oh, it is nothing, let's go to class.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate B. No one in the story says something inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is one, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Ming, I read your composition and it is not bad, it is just a bit regrettable. B. What do you mean, can you explain it more clearly? C. Oh, it is nothing, let's go to class. D. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: Who wins the composition competition?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Ming B. Xiao Long C. Xiao Hong D. The story does not mention</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Hong know that Xiao Ming really wants to win this composition competition?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",166-167-168-169,55
"On Friday afternoon, in the school library, Xiao Li is reading a magazine attentively. Xiao Gang and Xiao Xue sit on the table next to her, they are also Xiao Li's classmates. Xiao Gang suddenly says to Xiao Xue: ""Do you know Xiao Li comes here to read magazines every day? I think she is a bit unusual."" At this moment, Xiao Li hears their conversation, quietly closes the magazine, and prepares to leave. Xiao Xue continues to say: ""Yes, she always sits here alone, seems very focused."" Xiao Li feels a bit surprised, but still says friendly: ""Hmm, I am particularly interested in this magazine."" Xiao Gang and Xiao Xue laugh, then Xiao Xue asks: ""Xiao Li, are you going to participate in the school's poetry recitation competition now?""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Do you know Xiao Li comes here to read magazines every day? I think she is a bit unusual. B. Yes, she always sits here alone, seems very focused. C. Hmm, I am particularly interested in this magazine. D. There is no inappropriate sentence.</OPTIONS>
<QUESTION>###QUESTION: Where does the story take place?</QUESTION>
<OPTIONS>###OPTION: A. Supermarket B. Park C. Library D. Classroom</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Xue know that Xiao Li hears her conversation?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",170-171-172-173,56
"On weekend afternoons, Xiao Hong invites her friend Xiao Li to go shopping and try on clothes at the mall. Xiao Hong tries on a light blue dress and says to Xiao Li: ""I think the style of this dress is good, and the color is also very nice, what do you think?"" Xiao Li looks and says: ""Hmm, this dress is okay, but last week I see our classmate Xiao Mei try on the same style, I think she looks better in it."" Xiao Hong is silent, then says: ""But I prefer the color combination of this one."" Xiao Li replies: ""Maybe you can try other styles again.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. But I like the color match of this one more. B. Hmm, this dress is okay, but last week I see our classmate Xiao Mei try on the same style, I think she looks better in it. C. Maybe you can try other styles again. D. There is no inappropriate sentence.</OPTIONS>
<QUESTION>###QUESTION: Where do they shop?</QUESTION>
<OPTIONS>###OPTION: A. Bookstore B. Supermarket C. Mall D. Department store</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Li know this is the dress Xiao Hong picks out herself?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",174-175-176-177,57
"In the team meeting, the supervisor asks about Xiao Lin's project status. Xiao Lin answers, ""The project encounters unexpected challenges."" Xiao Zhou optimistically comments, ""You always keep such a low profile, surely you have a surprise to show us again!"" Xiao Lin softly says, ""I do my best."" Then, the supervisor says, ""Okay, we continue to discuss other matters.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story. B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. The project encounters unexpected challenges. B. You always keep such a low profile, surely you have surprises to show us again! C. I do my best. D. Okay, we continue to discuss other matters.</OPTIONS>
<QUESTION>###QUESTION: What change happens to the project?</QUESTION>
<OPTIONS>###OPTION: A. Finishes ahead of schedule B. Gets cancelled C. Does not progress smoothly D. Exceeds expectations</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Zhou know that Xiao Lin really encounters challenges?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",178-179-180-181,58
"Xiaolin and Xiaoli are good friends. Xiaoli breaks up last weekend. One day, when Xiaolin sees Xiaoli, he says, ""Xiaoli, why don't you come to the party last weekend? We all miss you."" Xiaoli briefly replies, ""Oh, I have something to do."" Xiaolin continues, ""Your girlfriend also doesn't come, don't you always attend together?"" Xiaoli says, ""I am quite busy with work recently.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story. B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Xiaoli, why don't you come to the party last weekend? We all miss you. B. Oh, I have something. C. Your girlfriend doesn't come either, don't you always attend together? D. There is no inappropriate sentence.</OPTIONS>
<QUESTION>###QUESTION: What happens to Xiaoli recently?</QUESTION>
<OPTIONS>###OPTION: A. He gets a promotion. B. He moves house. C. He experiences a breakup. D. He wins an award.</OPTIONS>
<QUESTION>###QUESTION: Does Xiaolin know that Xiaoli breaks up?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",182-183-184-185,59
"The new semester of university starts, Xiao Wang and Xiao Zhao become roommates in the dormitory. Xiao Wang's family condition is relatively good, Xiao Zhao's is not so good. One day, Xiao Wang buys some new clothes and snacks, Xiao Zhao sees and asks: ""These new things look pretty good, you shop a lot recently, huh?"" Xiao Wang smiles and replies: ""Yes, I occasionally treat myself well. Do you need anything? I can keep an eye out for you next time."" Xiao Zhao says: ""No need, but thank you for your offer.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story. B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. These new things look pretty good, you shop a lot recently, right? B. Yes, I occasionally treat myself well. Do you need anything? I can keep an eye out for you next time. C. No need, but thank you for your offer. D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: What is the relationship between Xiao Wang and Xiao Zhao?</QUESTION>
<OPTIONS>###OPTION: A. Classmates B. Roommates C. Friends D. Colleagues</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Wang know that Xiao Zhao's family conditions are not good?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",186-187-188-189,60
"On weekend nights, Xiao Li and Xiao Wang have dinner in a romantic restaurant. In the conversation, Xiao Li says, ""Xiao Wang, I find a great apartment, we can consider moving in. What do you think?"" Xiao Wang is a bit surprised, stays silent for a while, then says, ""The atmosphere of this restaurant is really good."" Xiao Li continues, ""I think this is an important step in our relationship. Don't you think so too?""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story. B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Wang, I find a great apartment, we can consider moving in. What do you think? B. The atmosphere of this restaurant is really good. C. I think this is an important step in our relationship. Don't you think so too? D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: Where do Xiao Li and Xiao Wang date?</QUESTION>
<OPTIONS>###OPTION: A. Cafe B. Restaurant C. Park D. Amusement park</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Li know Xiao Wang is not ready to move in together yet?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",190-191-192-193,61
"On Saturday morning, Xiao Wang and Xiao Zhao meet at the school gate. Xiao Zhao says: ""I have a basketball game this afternoon, do you come to watch?"" Xiao Wang remembers Xiao Zhao's game, and replies: ""Of course, I definitely go to support you."" Xiao Zhao happily says: ""Great, thank you!""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story. B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is not appropriate?</QUESTION>
<OPTIONS>###OPTION: A. I have a basketball game this afternoon, do you come to watch? B. Of course, I definitely go to support you. C. Great, thank you! D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: What event does Xiao Zhao invite Xiao Wang to watch?</QUESTION>
<OPTIONS>###OPTION: A. Xiao Wang's birthday party. B. Xiao Zhao's basketball game. C. Another friend's concert. D. The school's sports meeting.</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Wang remember Xiao Zhao's basketball game?</QUESTION>
<OPTIONS>###OPTION: A. Remembers B. Does not remember</OPTIONS>",194-195-196-197,62
"Over the weekend, Xiao Dan and her mother just move into a new house, they go to the mall to buy pink curtains. On Monday afternoon, Xiao Dan hangs the curtains in her bedroom. After hanging them, she says to her mother: ""Mom, the new curtains look really nice."" Her mother smiles and says: ""Yes, pink is very suitable for Xiao Dan's room."" After a while, Xiao Dan's best friend Xiao Rong comes to the new house to play, and says after seeing the curtains: ""Wow, these curtains are really beautiful, they match your bedroom very well."" Xiao Dan happily says: ""Thank you, what do you think of the other parts of my room?""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Mom, the new curtains look really good. B. Yes, pink is very suitable for Xiao Dan's room. C. Wow, these curtains are really beautiful, they match your bedroom very well. D. There is no inappropriate sentence.</OPTIONS>
<QUESTION>###QUESTION: What color of curtains do Xiao Dan and her mother buy?</QUESTION>
<OPTIONS>###OPTION: A. Blue B. Pink C. Yellow D. White</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Rong know that these curtains are new?</QUESTION>
<OPTIONS>###OPTION: A. She knows B. She does not know</OPTIONS>",198-199-200-201,63
"After school on Friday, Xiao Wang and Xiao Liu walk home together. Today is Xiao Wang's birthday, he feels a little excited. Halfway through, Xiao Liu suddenly says: ""Ah, right, today is your birthday, happy birthday!"" Xiao Wang listens and feels very happy, he smiles and says: ""Thank you, Xiao Liu."" Xiao Liu says: ""I prepare a gift for you, quickly unwrap it and see!""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate. B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Ah, right, today is your birthday, happy birthday to you! B. Thank you, Xiao Liu. C. I prepare a gift for you, quickly open it and see! D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: When is Xiao Wang's birthday?</QUESTION>
<OPTIONS>###OPTION: A. Next week. B. Today. C. Yesterday. D. The story does not mention.</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Liu remember Xiao Wang's birthday?</QUESTION>
<OPTIONS>###OPTION: A. Remembers B. Does not remember</OPTIONS>",202-203-204-205,64
