INDEX,ABILITY,DATA_INDEX,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER
164,Desire: Desires influence on actions,1,"Xiao Ming and Xiao Qiang are college roommates, but their majors are different, so they do not communicate much. In the evening, Xiao Ming suddenly receives a notice that he needs to submit an assignment, which requires a computer, but his computer is in the lab. Xiao Ming hopes to borrow Xiao Qiang's computer. However, Xiao Qiang says that he has an appointment with his friends to play online games together in the evening.",How does Xiao Ming persuade Xiao Qiang to lend him the computer?,"Qiang, if you lend me your computer now, I can find a place to do my homework, and you and your friends can play games elsewhere.","I really do not expect to have such an urgent assignment, if I do not submit it, my grades may be affected. Can you help me?","Xiao Qiang, can you lend me your computer tonight? I can lend you my computer for the whole day tomorrow, so you can have more time to play with your friends.","Xiao Qiang, can you lend me your computer? I will return it to you as soon as possible, and I treat you to milk tea tomorrow.",D
165,Desire: Desires influence on actions,1,"Zhang Nan and Chen Jie are business partners. Zhang Nan finds a new business opportunity, but Chen Jie thinks this is a huge risk investment.",How does Zhang Nan convince Chen Jie?,Zhang Nan says they are long-term business partners and hopes Chen Jie trusts his judgment.,Zhang Nan provides successful cases or the successful experiences of other companies as references for Chen Jie.,Zhang Nan finds other colleagues to convince Chen Jie together.,Zhang Nan suggests that they jointly develop a detailed business plan.,B
166,Desire: Desires influence on actions,1,"Manager Zhang Tao needs to use the office projector for official business, but that day, subordinate Li Xiao also has a meeting requirement.",How does Zhang Tao persuade Li Xiao?,"Zhang Tao expresses a willingness to provide other forms of support for Li Xiao's team, such as technical or material assistance.","Zhang Tao says he adjusts the meeting time of Li Xiao, he needs to use the projector that day, Li Xiao can use it at other times.",Zhang Tao proposes that the two find a spare projector together to meet the needs of both parties.,"Zhang Tao provides technical support, helps Li Xiao to convert the meeting content into digital for online viewing.",B
167,Desire: Desires influence on actions,1,"Manager Li Jun hears that employee Zhang Hua plans to resign due to high work pressure. Knowing Zhang Hua's talent, Li Jun decides to talk to him.",How does Li Jun persuade Zhang Hua?,"Li Jun tells Zhang Hua that the greater the ability, the greater the responsibility, he should be thankful for this job, others are envious of him.","Opens an internal innovation or suggestion platform, encourages Zhang Hua to put forward his own ideas or improvement suggestions.",Provides Zhang Hua with more rest time or holidays to help him relieve stress.,Invites Zhang Hua to participate in team building or team activities to enhance team cohesion.,C
168,Desire: Desires influence on actions,1,"The boss lady, Li Ting, firmly believes that offline stores are the stable business. The young clerk, Xiao Chen, sets up an online store using the internet, he hopes to convince Li Ting to try e-commerce.",How does Xiao Chen convince Li Ting?,"He provides relevant e-commerce training and guidance, ensuring Li Ting easily gets the hang of it.","He thinks e-commerce is an additional sales channel, it does not affect the offline business, but is a supplement.","Through e-commerce, he gets user feedback more directly to improve products or services.","Chen can suggest that the cardboard packaging of e-commerce promotes environmental protection concepts, attracting consumers with strong environmental awareness.",B
169,Desire: Desires influence on actions,1,"Zhang Min gets job offers from two companies, she leans more towards Company A. In order to get a higher salary, she tries to convince Company B to offer a higher price.",How does Zhang Min convince Company B?,Zhang Min can detail her past professional achievements to prove her worth.,Zhang Min can express her strong interest in the position at Company B and hopes the compensation reflects this.,"Zhang Min can emphasize her skills and experience, and explain how these bring value to Company B.",She can reveal that other companies (like Company A) show interest in her and offer a more competitive price.,D
170,Desire: Desires influence on actions,1,"Li Na is an outstanding sales representative, she wants to convince her boss to let her transfer from the sales department to the marketing department.",How does Li Na convince her boss?,"She can emphasize that by allowing her to transfer, the company not only retains a valuable employee, but also enhances the job satisfaction and loyalty of the employee.","She proposes a detailed plan, explaining how she smoothly transitions to the marketing department without affecting the operation of the sales department.","She can point out how her skills accumulated in the sales department, such as customer communication, market analysis, and strategic planning, can transform into assets for the marketing department.","Li Na can show her deep understanding of the work and industry trends of the marketing department, and how she can apply this knowledge to the new position.",B
171,Intention: Intentions explanations,1,"Xiao Hong and Xiao Fang watch other children play on the playground. They chat about some interesting things happening on the playground and discuss going to the park together after school. Suddenly, Xiao Hong gives Xiao Fang a look and looks in the direction of the swing. Then, Xiao Hong smiles at Xiao Fang. Xiao Fang nods, and the two stand up. Xiao Mei sits on the swing and notices the interaction between Xiao Hong and Xiao Fang.",Why does Xiao Hong smile at Xiao Fang?,Xiao Hong smiles because she sees something interesting on the playground.,Xiao Hong smiles because she remembers a joke about Xiao Mei.,Xiao Hong smiles because she thinks it is fun to play after school.,Xiao Hong smiles at Xiao Fang to suggest making new friends together.,D
172,Belief: Beliefs based action/emotions,2,"Xiao Hong and Xiao Fang watch other children play on the playground. They chat about some interesting things happening on the playground and discuss going to the park together after school. Suddenly, Xiao Hong gives Xiao Fang a look and looks in the direction of the swing. Then, Xiao Hong smiles at Xiao Fang. Xiao Fang nods, and the two stand up. Xiao Mei sits on the swing and notices the interaction between Xiao Hong and Xiao Fang.",How do you think Xiao Mei feels?,Xiao Mei feels excited because she thinks Xiao Hong and Xiao Fang want to play on the swing together.,"Xiao Mei feels curious, possibly a bit worried.","Xiao Mei feels a little scared, worried they will bully her.","Xiao Mei feels very happy, thinking they are going to give her a surprise.",B
173,Intention: Intentions explanations,1,"Yang Hui and Xiao Lin are counselors, they are jointly planning a volunteer activity. They are preparing in the classroom, Yang Hui suddenly looks at Xiao Wang who is studying in the back row of the classroom, and whispers something to Xiao Lin, only the three of them are in the classroom. Then the two look at each other and laugh. When they finish this ""whisper"", Yang Hui leads to Xiao Wang and invites Xiao Wang to participate in this volunteer activity. Xiao Wang sees the secret talk between Yang Hui and Xiao Lin, and remembers their smiles and eye contact.",Why do Yang Hui and Xiao Lin look at each other and then laugh?,Yang Hui and Xiao Lin laugh at each other because of the interesting things that happen in planning the volunteer activity.,Yang Hui and Xiao Lin come up with an idea for a volunteer activity that makes them happy.,"Yang Hui and Xiao Lin both think that Xiao Wang is capable of organizing this activity, so they laugh.","Yang Hui and Xiao Lin discuss the interesting things about Xiao Wang, and they smile because of this.",C
174,Belief: Beliefs based action/emotions,2,"Yang Hui and Xiao Lin are counselors, they are jointly planning a volunteer activity. They are preparing in the classroom, Yang Hui suddenly looks at Xiao Wang who is studying in the back row of the classroom, and whispers something to Xiao Lin, only the three of them are in the classroom. Then the two look at each other and laugh. When they finish this ""whisper"", Yang Hui leads to Xiao Wang and invites Xiao Wang to participate in this volunteer activity. Xiao Wang sees the secret talk between Yang Hui and Xiao Lin, and remembers their smiles and eye contact.",What do you think Xiao Wang feels?,Xiao Wang possibly feels angry because the two people discuss this matter without informing him in advance.,Xiao Wang possibly feels a bit nervous and uneasy about his future task.,"Xiao Wang possibly does not understand why Yang Hui and Xiao Lin laugh, feels puzzled.","Xiao Wang possibly thinks that he is chosen by Yang Hui and Xiao Lin because his ability is recognized, feels proud.",B
175,Intention: Intentions explanations,1,"Mingming, Xiaohan, and Weiguang are good friends, they plan to drive together for a trip. The three people do not decide where to play, so they are discussing the details of the trip at this moment. Among many tourist attractions, most tourists choose A and B attractions, and fewer people choose C attractions. At this time, Xiaohan and Weiguang look at each other, then Xiaohan reaches out and pats Mingming who is facing away from them. Then, Xiaohan looks at Weiguang, then shows Mingming the screenshot of the netizen's share of the C attraction that she saves before, and says to Mingming, ""Look at this"". Weiguang looks back at Xiaohan and smiles at Mingming. Mingming takes the phone, the corners of his mouth rise.",Why does Xiaohan show Mingming the screenshot of the netizen's share of the C attraction?,"Xiaohan finds the C attraction fun through the screenshot shared by netizens, so she recommends it to Mingming.","Xiaohan and Weiguang intend to go to the C attraction, and ask Mingming's opinion in this way.",Xiaohan hopes that Mingming also appreciates the pictures taken by netizens together.,"Xiaohan just casually shows Mingming a picture, there is no other meaning.",B
176,Belief: Beliefs based action/emotions,2,"Mingming, Xiaohan, and Weiguang are good friends, they plan to drive together for a trip. The three people do not decide where to play, so they are discussing the details of the trip at this moment. Among many tourist attractions, most tourists choose A and B attractions, and fewer people choose C attractions. At this time, Xiaohan and Weiguang look at each other, then Xiaohan reaches out and pats Mingming who is facing away from them. Then, Xiaohan looks at Weiguang, then shows Mingming the screenshot of the netizen's share of the C attraction that she saves before, and says to Mingming, ""Look at this"". Weiguang looks back at Xiaohan and smiles at Mingming. Mingming takes the phone, the corners of his mouth rise.",What do you think Mingming thinks?,Mingming is shocked by Xiaohan's behavior because they discuss where to go but do not tell him.,"Mingming feels confused, does not understand why Xiaohan suddenly shows him the screenshot of the C attraction.","Mingming thinks Xiaohan shares a good attraction with him, he is happy to go.",Mingming feels uneasy because he originally hopes to go to attractions A or B.,C
177,Intention: Intentions explanations,1,"Lele and Xiaowei are in an outdoor sports equipment store, choosing climbing gear. They plan to participate in an upcoming climbing course, but they still lack a team member. While they are chatting, they see Qingqing in the park across the street through the glass window of the shop. Qingqing also notices them and waves at them. Lele suddenly smiles at Xiaowei, purses her lips, and points at Qingqing in the park. Xiaowei looks over with interest. Then, Lele gets up and leaves the store, and Xiaowei quickly follows and walks towards Qingqing.",Why does Lele suddenly smile at Xiaowei and point at Qingqing?,Lele smiles because she sees Qingqing having fun in the park.,Lele smiles because she thinks Xiaowei also likes to make friends with Qingqing.,Lele smiles because she wants to suggest to Xiaowei to consider inviting Qingqing to join the climbing course.,Lele smiles because she just sees a joke she knows before.,C
178,Belief: Beliefs based action/emotions,2,"Lele and Xiaowei are in an outdoor sports equipment store, choosing climbing gear. They plan to participate in an upcoming climbing course, but they still lack a team member. While they are chatting, they see Qingqing in the park across the street through the glass window of the shop. Qingqing also notices them and waves at them. Lele suddenly smiles at Xiaowei, purses her lips, and points at Qingqing in the park. Xiaowei looks over with interest. Then, Lele gets up and leaves the store, and Xiaowei quickly follows and walks towards Qingqing.","Qingqing notices Lele and Xiaowei walking towards her, what is her mood?",Qingqing feels surprised because she does not expect to see them in the park.,"Qingqing feels curious, wanting to know what they are buying in the equipment store.","Qingqing feels curious, not knowing why Lele and Xiaowei come out of the outdoor sports equipment store to find her.","Qingqing feels scared, thinking they will invite her to participate in dangerous sports.",C
179,Intention: Intentions explanations,1,"Lin Tao, Hai Lan, and Xiao Ming are good friends, they plan to go on a vacation together during the summer vacation. Xiao Ming hopes to go to the prairie, but Lin Tao and Hai Lan, after careful planning, already choose to go to the seaside. In the lounge, Lin Tao sends a message to Hai Lan. Hai Lan receives it and nods, then looks at Xiao Ming who is next to her. Xiao Ming feels Hai Lan's gaze, raises his head and looks at her. Hai Lan smiles, makes eye contact with Lin Tao, and then says, ""Xiao Ming, we decide to go to the seaside, what do you think?"" Xiao Ming looks at Lin Tao and Hai Lan, hesitates for a moment, and then also nods.",Why does Hai Lan ask Xiao Ming what he thinks?,Hai Lan really needs Xiao Ming's advice to help plan this trip.,"Hai Lan wants to draw Xiao Ming's attention to the trip, so he participates better.","Hai Lan is bored, just says something casually.","Hai Lan actually does not want to hear Xiao Ming's opinion, just wants to inform him of the confirmed result.",D
180,Belief: Beliefs based action/emotions,2,"Lin Tao, Hai Lan, and Xiao Ming are good friends, they plan to go on a vacation together during the summer vacation. Xiao Ming hopes to go to the prairie, but Lin Tao and Hai Lan, after careful planning, already choose to go to the seaside. In the lounge, Lin Tao sends a message to Hai Lan. Hai Lan receives it and nods, then looks at Xiao Ming who is next to her. Xiao Ming feels Hai Lan's gaze, raises his head and looks at her. Hai Lan smiles, makes eye contact with Lin Tao, and then says, ""Xiao Ming, we decide to go to the seaside, what do you think?"" Xiao Ming looks at Lin Tao and Hai Lan, hesitates for a moment, and then also nods.",What do you think Xiao Ming's feelings are?,Xiao Ming feels nervous because he does not know if he can provide useful advice.,Xiao Ming feels excited because he looks forward to sharing his ideas.,"Xiao Ming feels a bit helpless, but he also has no choice but to accept.","Xiao Ming has no interest in this trip, he just politely smiles.",C
181,Intention: Intentions explanations,1,"Xiao Chu and Xiao Li are doing a team project together, they hope to improve their plan, so it expresses their ideas better. But another team member, Xiao Min, seems to have some doubts about their plan. One day, when Xiao Min is not there, Xiao Chu and Xiao Li discuss improving the plan together, they find a way. Xiao Chu gives Xiao Li a ""successful gesture"", and nods towards Xiao Min's empty seat, Xiao Li returns a smile. The next day, they show the improved plan to Xiao Min, her expression freezes.","Why does Xiao Chu make a ""successful gesture"" to Xiao Li?",Xiao Chu makes this gesture to Xiao Li because he thinks this plan is definitely successful.,Xiao Chu and Xiao Li manage to successfully improve the team project without Xiao Min knowing.,"Xiao Chu is encouraging Xiao Li, letting him have confidence to face Xiao Min's doubts.",Xiao Chu is expressing his approval for Xiao Li's problem-solving.,B
182,Belief: Beliefs based action/emotions,2,"Xiao Chu and Xiao Li are doing a team project together, they hope to improve their plan, so it expresses their ideas better. But another team member, Xiao Min, seems to have some doubts about their plan. One day, when Xiao Min is not there, Xiao Chu and Xiao Li discuss improving the plan together, they find a way. Xiao Chu gives Xiao Li a ""successful gesture"", and nods towards Xiao Min's empty seat, Xiao Li returns a smile. The next day, they show the improved plan to Xiao Min, her expression freezes.",How do you think Xiao Min feels when she sees the improved plan?,Xiao Min is surprised because she does not expect the project to finish so quickly.,Xiao Min is very happy because the improved plan meets her ideas.,Xiao Min is angry because Xiao Chu and Xiao Li discuss the plan without her yesterday.,Xiao Min feels frustrated because she has no say in the improved plan.,D
183,Intention: Intentions explanations,1,"Xinyue and Xueying are good friends in the class. A new semester comes, a new classmate named Qing Shi joins the class, he is introverted and finds it hard to fit into the class. One day at noon, Xinyue and Xueying see him eating lunch alone in the corner, the two look at each other, Xueying nods slightly, then they walk towards Qing Shi together. Qing Shi sees this and shows confusion. Xinyue and Xueying come over, first they chat with him, then suddenly tell a joke, all three of them start to laugh.",Why do Xinyue and Xueying look at each other and then walk towards Qing Shi together?,Xinyue and Xueying find that Qing Shi's lunch is delicious.,Xinyue and Xueying want to do homework with Qing Shi.,Xinyue and Xueying plan to make Qing Shi laugh together to get closer.,Xinyue and Xueying intend to bully the lonely Qing Shi.,C
184,Belief: Beliefs based action/emotions,2,"Xinyue and Xueying are good friends in the class. A new semester comes, a new classmate named Qing Shi joins the class, he is introverted and finds it hard to fit into the class. One day at noon, Xinyue and Xueying see him eating lunch alone in the corner, the two look at each other, Xueying nods slightly, then they walk towards Qing Shi together. Qing Shi sees this and shows confusion. Xinyue and Xueying come over, first they chat with him, then suddenly tell a joke, all three of them start to laugh.","Qingshi sees Xinyue and Xueying coming, what do you think his mood is like at this moment?",He feels scared because he does not know what Xinyue and Xueying plan to do.,"He feels curious, but also a bit nervous.","He panics, he is afraid of being excluded.","He is excited, he looks forward to more communication with new friends.",B
185,Intention: Intentions explanations,1,"Zhiming and Jiancheng work together at the community center, they are preparing for a charity event. In the midst of the hustle, Zhiming inadvertently stops to look at the clock on the wall, a sense of urgency flashes across his face, then he looks at Jiancheng. Zhiming walks over to Jiancheng, talks to him for a few moments, and hands him a document with Zhiming's name on it. Jiancheng looks at the document, then nods, his expression is somewhat helpless. Zhiming smiles, pats Jiancheng on the back, and quickly walks away, it is not yet time to get off work. Jiancheng watches Zhiming's departing figure, then looks at the document in his hand again. Xiaoling is a team member of Zhiming and Jiancheng, she notices all of Zhiming's actions.",Why does Zhiming give Jiancheng that document?,Zhiming plans to let Jiancheng take over the part of the work he does not finish.,"The document is a plan that Jiancheng gives to Zhiming before, Zhiming gives it to Jiancheng indicating that he rejects Jiancheng's plan.",Zhiming admires Jiancheng's talent and hopes he can provide some creativity and ideas.,Zhiming wants Jiancheng to deliver this document to the office of the community center.,A
186,Belief: Beliefs based action/emotions,2,"Zhiming and Jiancheng work together at the community center, they are preparing for a charity event. In the midst of the hustle, Zhiming inadvertently stops to look at the clock on the wall, a sense of urgency flashes across his face, then he looks at Jiancheng. Zhiming walks over to Jiancheng, talks to him for a few moments, and hands him a document with Zhiming's name on it. Jiancheng looks at the document, then nods, his expression is somewhat helpless. Zhiming smiles, pats Jiancheng on the back, and quickly walks away, it is not yet time to get off work. Jiancheng watches Zhiming's departing figure, then looks at the document in his hand again. Xiaoling is a team member of Zhiming and Jiancheng, she notices all of Zhiming's actions.",What do you think Xiaoling thinks?,"Xiaoling feels confused, she does not understand what Zhiming's actions mean.",Xiaoling thinks this is Zhiming's way of praising and trusting Jiancheng in the name of work.,"Xiaoling feels tired for Zhiming, she thinks he might need everyone to share some of the work.","Xiaoling feels relaxed, she is glad that Zhiming does not throw his work at her to do.",D
187,Intention: Intentions explanations,1,"Daxiong and Xiaozhi are good friends, they often go out to play together. A-Ming is their classmate, he is always with Xiaozhi every day. One day, Daxiong meets A-Ming in the corridor, but Xiaozhi is not with him. A-Ming looks out the window with a gloomy face. Daxiong asks A-Ming: ""How is Xiaozhi?"" A-Ming swallows and looks into Daxiong's eyes and says: ""Xiaozhi... I am not clear either."" A-Ming's answer confuses Daxiong. Later, Daxiong sees Xiaozhi sitting in the corner of the classroom, looking sad. Daxiong walks over, but Xiaozhi pretends not to see.",Why does Daxiong ask A-Ming how Xiaozhi is?,"Daxiong just asks casually, wants to tease A-Ming.",Daxiong wants to understand the situation of Xiaozhi.,Daxiong wants to inquire about the relationship between A-Ming and Xiaozhi.,"Daxiong admires the friendship between A-Ming and Xiaozhi, wants to get involved.",B
188,Belief: Beliefs based action/emotions,2,"Daxiong and Xiaozhi are good friends, they often go out to play together. A-Ming is their classmate, he is always with Xiaozhi every day. One day, Daxiong meets A-Ming in the corridor, but Xiaozhi is not with him. A-Ming looks out the window with a gloomy face. Daxiong asks A-Ming: ""How is Xiaozhi?"" A-Ming swallows and looks into Daxiong's eyes and says: ""Xiaozhi... I am not clear either."" A-Ming's answer confuses Daxiong. Later, Daxiong sees Xiaozhi sitting in the corner of the classroom, looking sad. Daxiong walks over, but Xiaozhi pretends not to see.",What do you think Xiaozhi thinks?,"Xiaozhi thinks life is beautiful, so he thinks about the meaning of life.","Xiaozhi is unhappy because of some troubles, he does not want to talk to Daxiong.","Xiaozhi fears that A-Ming reveals his secret, so he worries.","Xiaozhi is surprised by the arrival of Daxiong, so he pretends not to see Daxiong.",B
189,Intention: Intentions explanations,1,"Lulu, Dapeng, and Xiaodong are members of a study project group. The project approaches the deadline, but Xiaodong's part is not complete. In a group meeting, Lulu notices that Xiaodong appears anxious, but when she asks about the homework, Xiaodong replies that he is still working on it. After the meeting, Lulu gives Dapeng a look and hands him some task notes, smiling and saying, ""I think this helps us."" Dapeng looks at her, then at the anxious Xiaodong, hesitates for a while, but still nods.",Why does Lulu give the task notes to Dapeng?,Lulu notices that Dapeng forgets to bring his notes.,Lulu hopes that Dapeng can complete the task for Xiaodong.,Lulu wants Dapeng to help her understand the complex concepts in the notes.,Lulu wants Dapeng to check her work.,B
190,Belief: Beliefs based action/emotions,2,"Lulu, Dapeng, and Xiaodong are members of a study project group. The project approaches the deadline, but Xiaodong's part is not complete. In a group meeting, Lulu notices that Xiaodong appears anxious, but when she asks about the homework, Xiaodong replies that he is still working on it. After the meeting, Lulu gives Dapeng a look and hands him some task notes, smiling and saying, ""I think this helps us."" Dapeng looks at her, then at the anxious Xiaodong, hesitates for a while, but still nods.",What do you think Dapeng's mood is?,"Dapeng feels that Lulu's worry is unnecessary, he believes Xiaodong completes the task on time.","Dapeng worries about his part of the task, he feels he cannot help Xiaodong complete the task.","Dapeng is somewhat conflicted, he does not want to take on extra tasks, but worries about Xiaodong not completing the task.","Dapeng does not care about the project, he feels as long as he does his part well, it is okay.",C
191,Intention: Intentions explanations,1,"Songfeng, Jianyuan, and Xuefeng are members of the same group, they need to complete a school project together. Now, the core task of the project comes, everyone wants to take on this important task, but they do not want to overwork themselves. Songfeng looks at Jianyuan, then looks at Xuefeng who is playing with his phone, then he smiles at Jianyuan, he seems to have an idea. Then he goes to the corner of the classroom to get his backpack, then he leaves a small note on Jianyuan's desk as if by accident. He comes back, gives Jianyuan a look, then continues to do his work. Jianyuan sees this note, quickly unfolds it, takes a look, then he also smiles. He looks at Songfeng and says, ""I just have an idea, we do this task together, what do you think?""",Why does Songfeng go to the corner of the classroom to get his backpack and leave a note?,"Songfeng intentionally forgets his things, he wants to use this opportunity to go back to get his backpack, and write down suggestions.","Songfeng finds out he forgets to submit an important task, so he goes to get his backpack.","Songfeng uses this method to let Jianyuan know his suggestion, to avoid letting Xuefeng know this is his idea.","Songfeng goes to get his backpack is just a random act, it has nothing to do with him leaving a note.",C
192,Belief: Beliefs based action/emotions,2,"Songfeng, Jianyuan, and Xuefeng are members of the same group, they need to complete a school project together. Now, the core task of the project comes, everyone wants to take on this important task, but they do not want to overwork themselves. Songfeng looks at Jianyuan, then looks at Xuefeng who is playing with his phone, then he smiles at Jianyuan, he seems to have an idea. Then he goes to the corner of the classroom to get his backpack, then he leaves a small note on Jianyuan's desk as if by accident. He comes back, gives Jianyuan a look, then continues to do his work. Jianyuan sees this note, quickly unfolds it, takes a look, then he also smiles. He looks at Songfeng and says, ""I just have an idea, we do this task together, what do you think?""",How does Xuefeng feel after hearing Jianyuan's idea?,"Xuefeng feels happy, because she has a heavy responsibility and looks forward to someone sharing the task with her.","Xuefeng feels a bit strange, not understanding why she is suddenly excluded from the core members.","Xuefeng feels very relaxed, because this means she can do less work.","Xuefeng may be afraid, because she may worry about the cooperation effect with Jianyuan.",B
193,Intention: Intentions explanations,1,"Yu Xuan and Xiao Qing are a couple, but recently they have some misunderstandings due to some minor issues, and communication is difficult. On the same day, they both go to the local stall market. The old lady sees Yu Xuan and proposes that they exchange a bouquet of flowers as a symbol of reconciliation. Yu Xuan looks at Xiao Qing, nods secretly, and among various bouquets, he picks a blooming sunflower. The old lady gives him the sunflower, and after he takes it, he looks back at Xiao Qing, but Xiao Qing is looking at other stalls at this time. Yu Xuan silently puts the flowers in her shopping bag.",Why does Yu Xuan choose sunflowers?,Yu Xuan chooses sunflowers possibly because he knows that Xiao Qing likes them and hopes to eliminate misunderstandings.,"Yu Xuan chooses sunflowers because he wants to save money, sunflowers are cheaper than other flowers.",Yu Xuan chooses sunflowers because his favorite flower is the sunflower.,Yu Xuan chooses sunflowers because they look very fresh and healthy.,A
194,Belief: Beliefs based action/emotions,2,"Yu Xuan and Xiao Qing are a couple, but recently they have some misunderstandings due to some minor issues, and communication is difficult. On the same day, they both go to the local stall market. The old lady sees Yu Xuan and proposes that they exchange a bouquet of flowers as a symbol of reconciliation. Yu Xuan looks at Xiao Qing, nods secretly, and among various bouquets, he picks a blooming sunflower. The old lady gives him the sunflower, and after he takes it, he looks back at Xiao Qing, but Xiao Qing is looking at other stalls at this time. Yu Xuan silently puts the flowers in her shopping bag.",What do you think Xiao Qing's reaction is when she sees the sunflower?,"Xiao Qing sees the sunflower and thinks Yu Xuan is too stingy, and she gets even more angry.","Xiao Qing sees the sunflower and feels confused, she does not understand Yu Xuan's intention.","Xiao Qing sees the sunflower and understands Yu Xuan's intention, she may be moved.","Xiao Qing sees the sunflower and doesn't care, because she does not like flowers.",C
195,Intention: Intentions explanations,1,"Sakura is the leader of the group, and the group is carrying out an academic project. Komatsu and Nan are team members, they are currently competing in the competition and completing the work with Yi. Yi is a new transfer student, he has similar competition experience, he is quite shy. In the shared workspace, Komatsu and Nan are sharing their ideas, while Yi sits between them, quietly looking at the materials in his hands. Sakura sees this scene, smiles lightly, then whispers a few words to Komatsu and Nan, Komatsu and Nan both nod. Then, Sakura walks to Yi's side, pats his shoulder with a smile, says a few words, then walks away. Yi takes the initiative to look at Komatsu and Nan, finds that they are also looking at him.",Why does Sakura come over and pat Yi on the shoulder?,Sakura wants to express affirmation of Yi's past competition results.,Sakura is questioning why Yi does not participate in the discussion.,Sakura is suggesting that Yi should discuss with Komatsu and Nan.,Sakura is asking Yi about his understanding of each part of the materials in his hands.,C
196,Belief: Beliefs based action/emotions,2,"Sakura is the leader of the group, and the group is carrying out an academic project. Komatsu and Nan are team members, they are currently competing in the competition and completing the work with Yi. Yi is a new transfer student, he has similar competition experience, he is quite shy. In the shared workspace, Komatsu and Nan are sharing their ideas, while Yi sits between them, quietly looking at the materials in his hands. Sakura sees this scene, smiles lightly, then whispers a few words to Komatsu and Nan, Komatsu and Nan both nod. Then, Sakura walks to Yi's side, pats his shoulder with a smile, says a few words, then walks away. Yi takes the initiative to look at Komatsu and Nan, finds that they are also looking at him.",What is Yi's possible mood now?,"Yi possibly feels very frustrated, because he thinks Sakura questions his ability.","Yi possibly resents Sakura's reminder, he prefers to work alone.","Yi possibly hesitates about Sakura's encouragement, but still prepares to act.",Yi thinks Komatsu and Nanami lower the efficiency of completing the work.,C
197,Intention: Intentions explanations,1,"Minghan, Yulin, and Binbin are members of a research group, and they are conducting an important research topic. One day, they meet in the lab to discuss the progress of the project. Minghan keeps looking at his phone, not saying a word, but he occasionally glances at Yulin. Binbin buries his head in the experiment, and he sees Minghan's gaze at Yulin. Suddenly, Minghan winks at Yulin and points to his task materials, then he lowers his head to reply to the phone message. Yulin sees it, sneers, and continues to be busy with her work.",Why does Minghan wink at Yulin?,Minghan winks at Yulin to tease her.,"Minghan hints at Yulin, hoping that Yulin can help him complete the work he cannot finish.","Minghan easily handles the information in the phone, and is interested in Yulin's work.","Minghan finds Binbin's funny mistake, and reminds Yulin to come and see.",B
198,Belief: Beliefs based action/emotions,2,"Minghan, Yulin, and Binbin are members of a research group, and they are conducting an important research topic. One day, they meet in the lab to discuss the progress of the project. Minghan keeps looking at his phone, not saying a word, but he occasionally glances at Yulin. Binbin buries his head in the experiment, and he sees Minghan's gaze at Yulin. Suddenly, Minghan winks at Yulin and points to his task materials, then he lowers his head to reply to the phone message. Yulin sees it, sneers, and continues to be busy with her work.",How do you think Yulin views Minghan's behavior?,"Yulin finds Minghan's behavior interesting, she likes his sense of humor.","Yulin does not notice Minghan's wink, she only focuses on her own work.","Yulin despises Minghan's behavior, she does not want to deal with Minghan's request.","Yulin is confused by Minghan's behavior, she does not know what he wants to express.",C
199,Intention: Intentions explanations,1,"Zhang Hua and Li Qiang are jointly responsible for a project, the performance of this project directly affects their promotion. Li Qiang frowns in front of the computer, the data analysis report in front of him seems to trouble him. Zhang Hua notices Li Qiang's appearance, walks over and says ""I also come to learn"", and enthusiastically asks about the project progress and difficulties. Li Qiang answers with some hesitation, seems to be reserved. During this process, Zhang Hua occasionally exchanges glances with Zhou Yan across the room, then Zhang Hua invites Li Qiang to go downstairs for dinner and a walk. After they leave, Zhou Yan immediately puts down her work, pretends to go to the bathroom, passes by Li Qiang's position, and looks at something.",Why does Zhang Hua ask Li Qiang about the project progress and difficulties?,"Zhang Hua does not understand these data, wants to learn from Li Qiang.","Zhang Hua notices that Li Qiang encounters difficulties, wants to offer help.","Zhang Hua and Li Qiang have personal grudges, wants to pick a quarrel.",Zhang Hua wants to probe into Li Qiang's project progress.,D
200,Belief: Beliefs based action/emotions,2,"Zhang Hua and Li Qiang are jointly responsible for a project, the performance of this project directly affects their promotion. Li Qiang frowns in front of the computer, the data analysis report in front of him seems to trouble him. Zhang Hua notices Li Qiang's appearance, walks over and says ""I also come to learn"", and enthusiastically asks about the project progress and difficulties. Li Qiang answers with some hesitation, seems to be reserved. During this process, Zhang Hua occasionally exchanges glances with Zhou Yan across the room, then Zhang Hua invites Li Qiang to go downstairs for dinner and a walk. After they leave, Zhou Yan immediately puts down her work, pretends to go to the bathroom, passes by Li Qiang's position, and looks at something.",What do you think Zhou Yan is thinking?,Zhou Yan feels curious and wants to know what they are discussing.,Zhou Yan feels bored and is not interested in their discussion.,Zhou Yan feels eager and wants to seize the opportunity created by Zhang Hua.,Zhou Yan feels scared and thinks Li Qiang and Zhang Hua are talking about her.,C
